tweet,traduccion,compound
     santi abascal imagnate a un pelele con la camiseta del ejercito de tierra espaol o a un ma    t co ,Carlos Baute anthill honesty almost apologizing for the fact invite Santiago and putting excuses that p,0.5849
    pablo motos  sin quererlo  le est haciendo a abascal la mejor campaa posible hacindole la entrevista ms dura que h,casoaislado is strong words vox Santiago Abascal is president during his intervention in the anthill santiagoab,0.5106
  fonsiloaiza  abascal se afili al pp con  aos y ha tenido  cargos  a sus  aos no ha cotizado nunca fuera de la poltica  ha cobr,Anabel Alonso of the woman who wants an abortion will help but will not have Pblica Santiago Abascal bone which have no resources,-0.2382
  jupolvalladolid  qu opina  santi abascal de  aos de injusticia a las ffccssee    policia y  guardiacivil cobrando menos que la,igarri javaz go if it turns out that after interviewing santi abascal million Spaniards have found that vox nor are,0.0
desmontando a abascal  las  mentiras que le ha contado a pablo motos en  el hormiguero     t co  v    t co ,agustin Rosety anyone have done an interview in the anthill as have been made today santi abascal and has left more than,0.0
  sonrisitasbobas   no encarcelara a ninguna mujer por abortar   no veo mal que dos hombres se besen en la gran va   no me opongo a la,lopedevegac scenario Jordi Évole interview today arnaldootegi bravo is freedom of expression entitled SCENES,0.743
  igarrigavaz  vaya si resulta que despus de la entrevista a  santi abascal millones de espaoles han descubierto que los de vox ni son,gonnassau have raped a girl in a TV show and you were going to make the boycott of the program by interviewing abas antenna,-0.7845
    corregidme si me equivoco  pero    aquellos que estn pidiendo el boicot a cuatro por entrevistar a santiago abascal  no son,He said abascal is communist in santiagoabascaleh t ant co,0.0
abascal le retira un  regalo  a pablo motos en  el hormiguero    no te est gustando la entrevista      t co itmvfaklqj,Anabel Alonso of the woman who wants an abortion will help but will not have Pblica Santiago Abascal bone which have no resources,-0.2382
  vox es    santi abascal en  el hormiguero    ordenara la detencin de torra  la suspensin de la autonoma de catalua  cerrar  y,euprepiopadula do not miss this homfobo statements on homosexual adoption will touch children who do not want,0.0572
  casoaislado es  a ver si se enteran los progres  pablo motos no lo ha podido explicar mejor   santiagoabascaleh   no sera democrtico,Anabel Alonso of the woman who wants an abortion will help but will not have Pblica Santiago Abascal bone which have no resources,-0.2382
  vox es    santi abascal en  el hormiguero    ordenara la detencin de torra  la suspensin de la autonoma de catalua  cerrar  y,Anabel Alonso of the woman who wants an abortion will help but will not have Pblica Santiago Abascal bone which have no resources,-0.2382
  carnecrudaradio   vox no es un partido ms para ir ah con trancas y barrancas y la qumica  eso es normalizar a la extrema derecha  ,Anabel Alonso of the woman who wants an abortion will help but will not have Pblica Santiago Abascal bone which have no resources,-0.2382
pablo motos justifica as haber llevado a abascal a  el hormiguero     y este le corrige nada ms entrar    t co ,eledhmel santi abascal lives less than months in the womb but developed European people lives and co pe t,0.0
 gatomochete  cristinasolanos  puigmelont  alonso dm porque el lobby feminista da mucho dinero a los medios   no su    t co iyynmcsleq,ahpues manhattanmanone hermanntertsch santi abascal go over the syntax I do not answer unintelligible phrases t co,0.0
  vox es    santi abascal en  el hormiguero     el objetivo no es desenterrar a franco  es la excusa  el objetivo es felipe vi y an m,igarri javaz go if it turns out that after interviewing santi abascal million Spaniards have found that vox nor are,0.0
  fonsiloaiza  abascal se afili al pp con  aos y ha tenido  cargos  a sus  aos no ha cotizado nunca fuera de la poltica  ha cobr,janogarcia bikes sad what Paul has to justify the invitation to Santi Abascal because a totalitarian band wants to prevent,-0.7269
     santiagoabascaleh que escndalo santiago abascal en televisin       t co ,Thursday santi abascal out in the anthill going to see the program rt,0.0
  fonsiloaiza  abascal se afili al pp con  aos y ha tenido  cargos  a sus  aos no ha cotizado nunca fuera de la poltica  ha cobr,RGP perlalaura the anthill santi abascal I am affiliated with vox and I think the abortion is necessary to limit the co t gatkapyozj,0.0
  agustinrosety  a nadie le han hecho una entrevista en el hormiguero como la que le han hecho hoy a  santi abascal   y ha salido ms que,very embarrassing interview taking populist themes and trying to leave Santiago Abascal bad job s economy,-0.7645
    corregidme si me equivoco  pero    aquellos que estn pidiendo el boicot a cuatro por entrevistar a santiago abascal  no son,Paul has done what should a journalist who is trying to put on the ropes the political thing q does not usually h,0.0
  antoniornaranjo  los mismos que no decan ni m o apoyaban la presencia de otegi en tve la lan parda ahora por ver a abascal en el hor,vox is santi abascal the ant realize that between the traitors left and the other co brought t,0.0
  anabelalonso of   la mujer que quiera va a abortar pero no tendr ayuda pblica  santiago abascal  osea  las que no tengan recursos se,Anabel Alonso of the woman who wants an abortion will help but will not have Pblica Santiago Abascal bone which have no resources,-0.2382
     el hormiguero  santi abascal  vox es hayyy como estn los progres      los tolerantes    ,eledhmel santi abascal we defend women because we estn rapists in jail and we do not want or,-0.6728
  igarrigavaz  vaya si resulta que despus de la entrevista a  santi abascal millones de espaoles han descubierto que los de vox ni son,euprepiopadula do not miss this homfobo statements on homosexual adoption will touch children who do not want,0.0572
    insisto en que esto que ha dicho abascal es muy importante y se ha hablado muy poco de ello     t co ,vox is santi abascal the anthill going like crazy yanks Prximo what it will be to see t co,0.0258
  anabelalonso of   la mujer que quiera va a abortar pero no tendr ayuda pblica  santiago abascal  osea  las que no tengan recursos se,manhattanmanone not have seen the program but this cut I will donate santi abascal first for Amazon because the work,-0.2529
  tortondo  muy apropiado el inicio de el hormiguero con la visita de abascal   gracias a la colaboracin de  noabraspaz y el apoyo moral,bertrandmyd the anthill santi abascal vox is to be at home watching the president live a joy,0.5859
    corregidme si me equivoco  pero    aquellos que estn pidiendo el boicot a cuatro por entrevistar a santiago abascal  no son,vox is santi abascal in the anthill as I will bother m two gays kiss in the street in any way,0.1027
   sapientiae  cuando te mola ms un comunista que no tiene pudor en levantar el puo  que homenajea al che homfobo  que re con azotar,vox is santi abascal in the anthill ordered the arrest of torra the suspension of the autonomy of Catalonia close and,-0.34
  vox es    santi abascal en  el hormiguero    s  he toreado pero sin muerte  y se me sec la boca ms que en sta entrevista       s,renatto Baptist God's work is more important than the work of human abascal large Peruvian politician who speaks there will be as c,0.2716
  albertoluni  pablo motos cada vez que intenta dejar en evidencia a abascal y no lo consigue  santiagoabascaleh    t co ,that little questions abascal motorcycle trying to tell you is racist xenfobo homfobo but it is impossible qu t co,-0.3612
  vox es    santi abascal en  el hormiguero    nosotros defendemos la ley de legtima defensa  que una persona pueda defender su propie,laresistencia abascal buttonhole on the resistance and the box remains Franco,0.0
    y despus de est gran entrevista que estoy viendo de santiago abascal  sin tapujos  sin caer en las trampas y sin mie,casoaislado is to see if Pablo Motos progres has been unable to explain better learn santiagoabascaleh not be democratic,0.4404
  mbarraganl  ahora los progres van a tener trabajo duro para interpretar esta interesante frase  ya me diris   santi abascal en  el ho,wallstwolverine today Santiago Abascal has a great opportunity to show how unfair is that meditica demonizacin,0.5859
  fonsiloaiza  abascal se afili al pp con  aos y ha tenido  cargos  a sus  aos no ha cotizado nunca fuera de la poltica  ha cobr,pablo hope bikes use the same tone and shapes with the rest of the polticuchos to take your program Orgull,0.4404
  anabelalonso of   la mujer que quiera va a abortar pero no tendr ayuda pblica  santiago abascal  osea  las que no tengan recursos se,abascal resistance in the ant and piqué resistance in the two spies,0.0
  jmdelalamo  ha sido la entrevista ms seria que ha hecho el hormiguero nunca  es probable que la de los otros candidatos tenga otro ton,should have record audience and who does not want to see rather than criticizing those who want to do no more Opcio,-0.6303
  el hormiguero    santi abascal nos habla sobre sus planteamientos de cara a las elecciones  santiagoabascaleh    t co ,vox is santi abascal in the anthill the other day talking about the social emergency affecting the Spaniards the caresta,-0.3818
  vox es    santi abascal en  el hormiguero    cmo me va a molestar a m que dos gays se besen por la calle  de ninguna manera     ,vox is santi abascal in the anthill the other day talking about the social emergency affecting the Spaniards the caresta,-0.3818
  anabelalonso of   la mujer que quiera va a abortar pero no tendr ayuda pblica  santiago abascal  osea  las que no tengan recursos se,mbarraganl santi abascal anthill madrid agustinrosety sanchezdelreal vox vox vox is always sensational badajoz,0.0
  diego    el hormiguero  santi abascal  vox es pablo motos disculpandose por tener a santiago abascal  que malo es el miedo progre,agustin Rosety anyone have done an interview in the anthill as have been made today santi abascal and has left more than,0.0
  anabelalonso of   la mujer que quiera va a abortar pero no tendr ayuda pblica  santiago abascal  osea  las que no tengan recursos se,santi abascal the anthill tonterias say you feel sorry very sorry,-0.1531
  vox es    santi abascal en  el hormiguero    yo me saqu la licencia de armas para proteger a mi padre en el pas vasco       santia,vox is santi abascal in the anthill ningn I have no fear of the elections our voters are the most loyal and many,-0.2516
  diegomrtg  a pesar del  boicotelhormiguero contra  santi abascal  o gracias al mismo  la bsqueda  a qu hora es el hormiguero  se ha d,tortondo today has come to enjoy the anthill santiago abascal out what frank and fachancas santiagoabascaleh t co,0.4939
 hermanntertsch  vox es  santi abascal qu autenticidad  abascal no ha trabajado en su vida  fue saltando de enc    t co ,The only thing the interview abascal in the anthill deberais see t co,0.0
  ldpsincomplejos  pues ha quedado extraordinaria la entrevista a  santi abascal  curiosamente  al que se le vea algo envarado es al pro,ldpsincomplejos it has been extraordinary interview with santi abascal curiously to see that he is somewhat stiff to pro,0.0
  eledhmel    santi abascal   nosotros defendemos a las mujeres porque queremos que los violadores estn en la crcel y no queremos que o,vox is santi abascal in the anthill the other day talking about the social emergency affecting the Spaniards the caresta,-0.3818
   david iglesias  dice abascal   no soy homfobo   en la frase siguiente afirma que ante una adopcin  mejor darle el nio a una familia,jmdelalamo has been the most serious interview that has made the anthill is never likely that the other candidates have another ton,-0.1513
  ldpsincomplejos  pues me voy a preparar la cena y me voy a sentar a ver a santi abascal en el hormiguero ,puigmelont abascal in co ant t,0.0
  vox es    santi abascal en  el hormiguero    cmo me va a molestar a m que dos gays se besen por la calle  de ninguna manera     ,jmdelalamo has been the most serious interview that has made the anthill is never likely that the other candidates have another ton,-0.1513
  vox es    santi abascal en  el hormiguero    defendera la frontera de melilla con muros ms grandes si es necesario y dando ayuda a,Pablo Motos unwillingly he is making the best possible campaign abascal hacindole interview lasts more than h,0.6369
  vox es    santi abascal en  el hormiguero    cmo me va a molestar a m que dos gays se besen por la calle  de ninguna manera     ,casoaislado is strong words vox Santiago Abascal is president during his intervention in the anthill santiagoab,0.5106
  vox es    santi abascal en  el hormiguero    somos los nicos que no permitiramos que salgan los violadores de mujeres de las crcel,Mr. dbunker abascal interview on a private TV that costs us a hard boycott interview Otegi in a tele Pblica qu,-0.4019
  anabelalonso of   la mujer que quiera va a abortar pero no tendr ayuda pblica  santiago abascal  osea  las que no tengan recursos se,vox is santi abascal in the anthill we are the only ones who do not permitiramos leaving rapists of women from jail,0.5334
 santi abascal a pesar de que polticamente no podemos estar ms alejados hay ciertos aspectos en los que le doy la    t co ,alejandrosvq huge andrs the article by Francisco Gallardo for daily summary of how the interrogation interview I prefer,0.3182
  davhierro  hace  aos que tuve la suerte de conocer a  santi abascal   y hace  aos que decid abandonar el  populares porque saba,I insist that this is abascal has said very important and has spoken very little about it t co,0.2716
     uriahee pablo motos me ha parecido mezquino  al preguntarle a abascal si tiene un arma  si alguna vez le ha quitado el,vox is santi abascal in the anthill defendera the Melilla border with walls more big if necessary and giving help,0.6249
  pablomm  no me opongo a las entrevistas a abascal  pero el contexto lo es todo  no es lo mismo sentarle frente a un periodista y expone,argibaylydia go jar washed abascal flipo just made before voting porfavoooor Read them anywhere you not only with quedis,0.0
 el hormiguero  santi abascal no puto entiendo como podis darle ni un minuto a este personaje  que puto asco,fonsiloaiza Abascal percentage points Afili the years and has held positions their years has never traded outside of politics has cobr,0.0
  fonsiloaiza  abascal se afili al pp con  aos y ha tenido  cargos  a sus  aos no ha cotizado nunca fuera de la poltica  ha cobr,vox is santi abascal in the anthill we are the only ones who do not permitiramos leaving rapists of women from jail,0.5334
 tito cid  vox es  santi abascal  el hormiguero hombre tito  tampoco te pases    ,vox is santi abascal in the anthill the other day talking about the social emergency affecting the Spaniards the caresta,-0.3818
  agustinrosety  hoy  santi abascal ha estado extraordinario   la izquierda nos quiere quitar la libertad de expresin   nunca nos veris,ldpsincomplejos it has been extraordinary interview with santi abascal curiously to see that he is somewhat stiff to pro,0.0
  furiabelga  acaba de decir abascal que si tuviese poder ordenara al ministerio del interior detener a torra    un poltico diciendo qu,santiago pablo motos abascal santiagoabascaleh,0.0
  el hormiguero    santi abascal nos habla sobre sus planteamientos de cara a las elecciones  santiagoabascaleh    t co ,espainews santi abascal today in the anthill defendera the Melilla border with walls more big if necessary and Segu,0.0
    bienquedas   pero si es precisamente lo que ha hecho el payaso de abascal hoy  tran    t co dqrbnnttjg,Anabel Alonso of the woman who wants an abortion will help but will not have Pblica Santiago Abascal bone which have no resources,-0.2382
  natalia    el hormiguero  santi abascal  vox es qu piensa  santi abascal del menosprecio al que los distintos gobiernos han somet,eledhmel santi abascal we defend women because we estn rapists in jail and we do not want or,-0.6728
  vox es    santi abascal en  el hormiguero    cmo me va a molestar a m que dos gays se besen por la calle  de ninguna manera     ,vox is santi abascal in the anthill as I will bother m two gays kiss in the street in any way,0.1027
  juanfraescudero  te gustar o no  santi abascal pero al menos sabes que no te est engaando   que gusto da cuando un poltico dice la,fonsiloaiza Abascal percentage points Afili the years and has held positions their years has never traded outside of politics has cobr,0.0
  casoaislado es  contundentes palabras de santiago abascal  presidente de  vox es  durante su intervencin en el hormiguero   santiagoab,qu rare santi has not jumped abascal accusing the communist Bolsheviks ants feminazis and the co t,0.1326
  anabelalonso of   la mujer que quiera va a abortar pero no tendr ayuda pblica  santiago abascal  osea  las que no tengan recursos se,pocahontasma santi igarrigavaz abascal and see that Pablo Motos is putting interest in trying to prove that it is all the worse,-0.0258
 juanfraescudero  santi abascal totalmente de acuerdo,noelia meadow hashtag I've gotten to boycott the anthill and is full of fachas crying because estn curtailing liberals lib,-0.6597
  vox es    santi abascal en  el hormiguero    somos los nicos que no permitiramos que salgan los violadores de mujeres de las crcel,sitojohns monastery and thorny seals skip the prior Valley denies the fallen dictator tejero the remains of ho,-0.7506
  fonsiloaiza  abascal se afili al pp con  aos y ha tenido  cargos  a sus  aos no ha cotizado nunca fuera de la poltica  ha cobr,vox is santi abascal in the anthill the other day talking about the social emergency affecting the Spaniards the caresta,-0.3818
  vox es    santi abascal en  el hormiguero    cmo me va a molestar a m que dos gays se besen por la calle  de ninguna manera     ,sr God today has come to make fascism to the anthill santi abascal santiagoabascaleh,0.2732
 santi abascal la imagen del asesino guevara est totalmente distorsionada  muchos jvenes engaados lo mitifican c    t co ,vox is santi abascal in the anthill in vistalegre Apel especially national reconciliation can not come anyone to dict,0.0
  vox es    santi abascal en  el hormiguero   a pablo motos   estoy preocupado porque has dicho que tenemos slo  diputados en el cong,igarri javaz go if it turns out that after interviewing santi abascal million Spaniards have found that vox nor are,0.0
  eledhmel    santi abascal   nosotros defendemos a las mujeres porque queremos que los violadores estn en la crcel y no queremos que o,Sitting here to see santi abascal in the anthill and I find q q the only leader did not want to go is sanche,-0.0572
    pablo motos  sin quererlo  le est haciendo a abascal la mejor campaa posible hacindole la entrevista ms dura que h,pablo rodro road bikes trying to provoke abascal with leading questions santiagoabascaleh t co,-0.4019
  laresistencia  abascal en el hormiguero y piqu en la resistencia  las dos espaas ,fr santiago abascal in the anthill talking about whether homosexuals can adopt santiagoabascaleh boicothormiguero aba,0.1779
qu triste que abascal no tenga buen feeling con rivera  me gustan ambos,elentirvigo Santiago Abascal in the anthill were more cmod when vox pruning not defend the leader of vox her pulse gan,0.0
  vox es    santi abascal en  el hormiguero    s  he toreado pero sin muerte  y se me sec la boca ms que en sta entrevista       s,wallstwolverine sánchez I like to see in the context of the hardness of the interview that you are doing to abascal not sabra dnd,0.3612
 antoniomaestre vd  ha ledo y comprendido a j  goebbels  comparar a santiago abascal con un nazi de mierda  es una    t co zlhitssvlw,anthill santi abascal go decepcion interview to see if dems do the same with political leaders au t co,0.0
    muy vergonzosa la entrevista  sacando temas populistas y tratando de dejar mal a santiago abascal  economia  trabajo  s,igarri javaz go if it turns out that after interviewing santi abascal million Spaniards have found that vox nor are,0.0
  vox es    santi abascal en  el hormiguero    en vistalegre apel sobre todo a la reconciliacin nacional  no puede venir nadie a dict,anthill nicarenne santi abascal Pablo Motos vox is what bad journalist disappointment intervening with t co op gxkwaltosd,-0.7783
que pesado todo el mundo con la puta entrevista de  santi abascal,when santi abascal says is against abortion and remove it from public health services which really means,0.0
   david iglesias  dice abascal   no soy homfobo   en la frase siguiente afirma que ante una adopcin  mejor darle el nio a una familia,ar delaney rightly pedro sanchez is not going to the nest after seeing a seor as abascal will make the ridiculous free,0.2023
     el hormiguero  santi abascal  vox es no se casan con nadie en el hormiguero  jajaja q trola  los de izquierda les molan mu,Pablo Motos almost apologizing for embarrassing interview abascal at least has made it clear that the snche Feln,0.0661
  casasola   abascal como se le esperaba  en contra del ecologismo  del aborto  de la eutanasia  de la adopcin de los homosexuales y a,eledhmel those who ask boicotelhormiguero because it santi abascal are the same who viewed delighted to Otegi in different program,0.5106
  marcosgoldc  que opinan de las palabras de  santiabascal    abascaleh  elhormiguero  boicotalhormiguero  abascal  hormiguero  voxa,ldpsincomplejos because I'll cook dinner and I'm going to sit to see santi abascal in the anthill,0.0
  vox es    santi abascal en  el hormiguero    defendera la frontera de melilla con muros ms grandes si es necesario y dando ayuda a,vox is santi abascal in the anthill we defend legtima defense law that a person can defend his propie,0.128
  eledhmel    santi abascal   estoy en contra de que el aborto sea una prctica eugensica y anticonceptiva  es acabar con una vida human,vox is santi abascal in the anthill the goal is not unearth franc is the excuse the goal is Philip VI and an m,0.0772
  pablomm  no me opongo a las entrevistas a abascal  pero el contexto lo es todo  no es lo mismo sentarle frente a un periodista y expone,the anthill santi abascal one thing is democracy and another when my human rights are affected,-0.1531
  gabrielrufian  si habis visto joker en el cine podis ver a abascal en el hormiguero ,vox is santi abascal the anthill congratulations you are very clear,0.7778
  vox es    santi abascal en  el hormiguero    somos los nicos que no permitiramos que salgan los violadores de mujeres de las crcel,vox is santi abascal in the anthill ordered the arrest of torra the suspension of the autonomy of Catalonia close and,-0.34
  fonsiloaiza  abascal se afili al pp con  aos y ha tenido  cargos  a sus  aos no ha cotizado nunca fuera de la poltica  ha cobr,fonsiloaiza Abascal percentage points Afili the years and has held positions their years has never traded outside of politics has cobr,0.0
  eledhmel  pablo motos   pareces tan bueno      santi abascal   es que soy bueno    doy fe    santiagoabascaleh    t co vzfourwzrr,manhattanmanone not have seen the program but this cut I will donate santi abascal first for Amazon because the work,-0.2529
  vox es    santi abascal en  el hormiguero      sobre la eutanasia  nos ponen la reflexin sobre ramn sampedro  un hombre en pleno us,rchamode Santiago Abascal in the anthill were more cmod when pruning not defend vox Through the co t,0.0
  hermanntertsch  la autenticidad de  santi abascal no tiene rival en la politica espaola  nadie  ninguno  ni de lejos     t co nhb,vox is santi abascal in the anthill I I pulled the gun license to protect my father in the Basque country santia,0.0516
  vox es    santi abascal en  el hormiguero    s es verdad que el psoe nos ha utilizado para meter miedo  han dicho barbaridades de no,my honestly makes me a grace throughout the boom in networks with boicotelhormiguero when you have abascal and t co m,0.7003
